ID;Активно;Раздел 1;Раздел 2;Артикул;Наименование;Описание;Ед. изм;Вес;Объем;Диаметр;Размер;Цвет;Цена;Старая цена;Изображение;Ссылка;оригинальные ссылки на гугле дениса;ID картинки;приставка для создания ссылки на изображение;пп кат;пп блюд;slug;vegan icon;hot icon;;;;;;;;;;;
1104;1;11. Футомаки🌶️;;;Футомаки Магура батта;тунец в чесночном соусе;шт.;250 гр.;8 шт.;;;;950;;https://static.tildacdn.com/tild3963-3436-4966-b536-623937313535/1104_Magura_bata.jpg;;https://drive.google.com/file/d/1bEiIEVUVqK1TnKQGqM-oqtC_fEBHiNxi/view?usp=drive_link;1bEiIEVUVqK1TnKQGqM-oqtC_fEBHiNxi;;11;4;futomakihot;0;1;;;;;;;;;;;
1105;1;11. Футомаки🌶️;;;Футомаки Спайс лосось 🔥;лосось с острым соусом;шт.;250 гр.;8 шт.;;;;950;;https://static.tildacdn.com/tild3938-3733-4265-a562-333336313762/1105_Futomaki_Spice_.jpg;;https://drive.google.com/file/d/1Kmv7aXwq05uDE7KtxSulHnR0UG3RRht6/view?usp=drive_link;1Kmv7aXwq05uDE7KtxSulHnR0UG3RRht6;;11;5;futomakihot;0;1;;;;;;;;;;;
1106;1;11. Футомаки🌶️;;;Футомаки Спайс туна 🔥;тунец с острым соусом;шт.;250 гр.;8 шт.;;;;950;;https://static.tildacdn.com/tild6665-6262-4166-a566-336661313961/1106_Futomaki_Spice_.jpg;;https://drive.google.com/file/d/10f0TE6ni027IywxNn377UPvRSAnykMT7/view?usp=drive_link;10f0TE6ni027IywxNn377UPvRSAnykMT7;;11;6;futomakihot;0;1;;;;;;;;;;;
1107;1;11. Футомаки🌶️;;;Футомаки Спайс эби 🔥;креветки с острым соусом;шт.;250 гр.;8 шт.;;;;950;;https://static.tildacdn.com/tild6462-6639-4638-a230-653339336366/1107_Futomaki_Spice_.jpg;;https://drive.google.com/file/d/1TbXWWtWNJ-4YM8n7f9HbyvLzu6hD0xgz/view?usp=drive_link;1TbXWWtWNJ-4YM8n7f9HbyvLzu6hD0xgz;;11;7;futomakihot;0;1;;;;;;;;;;;
1108;1;11. Футомаки🌶️;;;Футомаки Спайс канни 🔥;сурими с острым соусом;шт.;250 гр.;8 шт.;;;;900;;https://static.tildacdn.com/tild6431-3634-4261-a535-623930373264/1108_Futomaki_Spice_.jpg;;https://drive.google.com/file/d/1E1_Uelfxm_AIiG8y7ezdc-sPTsorzwCx/view?usp=drive_link;1E1_Uelfxm_AIiG8y7ezdc-sPTsorzwCx;;11;8;futomakihot;0;1;;;;;;;;;;;
1109;1;11. Футомаки;;;Футомаки Ясай;кунжут, огурец, болгарский перец, зеленый салат, помидор, авокадо, соус тонкацу;шт.;260 гр.;8 шт.;;;;800;;https://static.tildacdn.com/tild6538-3338-4162-b233-393663373636/1109_Futomaki_yasai.jpg;;https://drive.google.com/file/d/1kaOMefRRTQ4nfRRIanINmuhpSrUe2Xl0/view?usp=drive_link;1kaOMefRRTQ4nfRRIanINmuhpSrUe2Xl0;;11;9;futomaki;1;0;;;;;;;;;;;
1110;1;11. Футомаки;;;Футомаки Сяке Чиз Авокадо;огурец, сыр, авокадо, лосось;шт.;250 гр.;8 шт.;;;;1000;;https://static.tildacdn.com/tild3838-3336-4562-b366-363565653364/1110_Futomaki_avokad.jpg;;https://drive.google.com/file/d/1Z-D1hPxc861XHKnH5G-WDTkZsz7cbNer/view?usp=drive_link;1Z-D1hPxc861XHKnH5G-WDTkZsz7cbNer;;11;10;futomaki;1;0;;;;;;;;;;;
1111;1;11. Футомаки;;;Футомаки Авокадо Чиз;сыр, авокадо;шт.;250 гр.;8 шт.;;;;900;;https://static.tildacdn.com/tild6336-3733-4464-b736-343565393936/1111_Futomaki_avokad.jpg;;https://drive.google.com/file/d/1zY8vj1J6jdWi5rZZhdVhDOjWO8n6ik__/view?usp=drive_link;1zY8vj1J6jdWi5rZZhdVhDOjWO8n6ik__;;11;11;futomaki;1;0;;;;;;;;;;;
1201;1;12. Запеченые роллы🍘;;;Запеченый Краб;запечённый ролл с крабовыми сурими;шт.;300 гр.;8 шт.;;;;900;;https://static.tildacdn.com/tild3937-6232-4763-b362-643034393261/1201_Zapeene_Krab.jpg;;https://drive.google.com/file/d/1bE7Y1MoMPS6grOWmGZRSX7xGslVyR5D2/view?usp=drive_link;1bE7Y1MoMPS6grOWmGZRSX7xGslVyR5D2;;12;1;backed;0;0;;;;;;;;;;;
1202;1;12. Запеченые роллы🍘;;;Запеченый Лосось;запечённый ролл с лососем;шт.;300 гр.;8 шт.;;;;1050;;https://static.tildacdn.com/tild3130-3930-4439-b164-363963373065/1202_Zapeene_Losos.jpg;;https://drive.google.com/file/d/1hPd7opMmn0XK4xdnnnfPgfj0_gwm7RP7/view?usp=drive_link;1hPd7opMmn0XK4xdnnnfPgfj0_gwm7RP7;;12;2;backed;0;0;;;;;;;;;;;
