Артикул,Активно,cat_slug,пп блюд,наименование_sr_latn,наименование_ru,наименование_en,описание_sr_latn,описание_ru,описание_en,Цена,Цена P1,Цена P2,вес/объем,кол-во в позиции,ед-цы кол-ва,ед-цы веса/объема,Ед. изм,Старая цена,vegan icon,hot icon,мсджр_наименование_ru,мсджр_наименование_en,мсджр_наименование_sr_latn,мсджр_описание_ru,мсджр_описание_en,мсджр_описание_sr_latn,,,Вес,Объем,ИСПРАВИТЬ!!!!,Приборы
036,1,sandochi,1,Sandoči losos,Сандочи лосось,Salmon sandochi,"panirani sendvič sa sirom, krastavcem, lososom i spajsi sosom","обжаренный во фритюре сэндвич с сыром, огурцом, лососем и спайси соусом","breaded sandwich with cheese, cucumber, salmon, spicy sauce",800,1040,640,160,4,шт,гр,шт.,,,,Запеченый Тунец,,,,,,,,160 гр.,4 шт.,,1
037,1,sandochi,2,Sandoči škampi,Сандочи креветка,Shrimp sandochi,"panirani sendvič sa sirom, krastavcem, škampima i spajsi sosom","обжаренный во фритюре сэндвич с сыром, огурцом, креветкой и спайси соусом","breaded sandwich with cheese, cucumber, shrimp, spicy sauce",800,1040,640,160,4,шт,гр,шт.,,,,Запеченая Курица,,,,,,,,160 гр.,4 шт.,,1
038,1,sandochi,3,Sandoči surimi,Сандочи сурими,Surimi sandochi,"panirani sendvič sa sirom, krastavcem, surimijem i spajsi sosom","обжаренный во фритюре сэндвич с сыром, огурцом, сурими и спайси соусом","breaded sandwich with cheese, cucumber, surimi, spicy sauce",700,910,560,160,4,шт,гр,шт.,,,,🌟 Запеченый гребешок,,,,,,,,160 гр.,4 шт.,,1
039,1,sandochi,4,Sandoči jegulja,Сандочи угорь,Eel sandochi,"panirani sendvič sa sirom, krastavcem, dimljenom jeguljom i spajsi sosom","обжаренный во фритюре сэндвич с сыром, огурцом, копченым угрем и спайси соусом","breaded sandwich with cheese, cucumber, smoked eel, spicy sauce",800,1040,640,160,4,шт,гр,шт.,,,,🌟 Запеченые мидии,,,,,,,,160 гр.,4 шт.,,1
040,1,futomaki,1,Šake bata,Сяке бата,Sake bata,"pirinač, nori, krastavac, losos u sosu od belog luka","рис, нори, огурец, лосось в чесночном соусе","rice, nori, cucumber, salmon in garlic sauce",1050,1365,840,250,8,шт,гр,шт.,,,,Темпура лосось,,,,,,,,250 гр.,8 шт.,,1
041,1,futomaki,2,Ebi bata,Эби бата,Ebi bata,"pirinač, nori, krastavac, škampi u sosu od belog luka","рис, нори, огурец, креветка в чесночном соусе","rice, nori, cucumber, shrimp in garlic sauce",1050,1365,840,250,8,шт,гр,шт.,,,,Темпура креветка,,,,,,,,250 гр.,8 шт.,,1
042,1,futomaki,3,Kani bata,Кани бата,Kani bata,"pirinač, nori, krastavac, surimi u sosu od belog luka","рис, нори, огурец, сурими в чесночном соусе","rice, nori, cucumber, surimi in garlic sauce",950,1235,760,250,8,шт,гр,шт.,,,,Темпура тунец,,,,,,,,250 гр.,8 шт.,,1
043,1,futomaki,4,Magura bata,Магура бата,Magura bata,"pirinač, nori, krastavac, tuna u sosu od belog luka","рис, нори, огурец, тунец в чесночном соусе","rice, nori, cucumber, tuna in garlic sauce",1050,1365,840,250,8,шт,гр,шт.,,,,Темпура сурими,,,,,,,,250 гр.,8 шт.,,1
044,1,futomaki,5,Spajsi losos,Спайси лосось,Spicy salmon,"pirinač, nori, krastavac, losos u spajsi sosu","рис, нори, огурец, лосось в спайси соусе","rice, nori, cucumber, salmon in spicy sauce",1050,1365,840,250,8,шт,гр,шт.,,,,Хот ролл с лососем,,,,,,,,250 гр.,8 шт.,,1
045,1,futomaki,6,Spajsi tuna,Спайси туна,Spicy tuna,"pirinač, nori, krastavac, tuna u spajsi sosu","рис, нори, огурец, тунец в спайси соусе","rice, nori, cucumber, tuna in spicy sauce",1050,1365,840,250,8,шт,гр,шт.,,,,Хот ролл с креветкой,,,,,,,,250 гр.,8 шт.,,1
046,1,futomaki,7,Spajsi ebi,Спайси Эби,Spicy shrimp,"pirinač, nori, krastavac, škampi u spajsi sosu","рис, нори, огурец, креветка в спайси соусе","rice, nori, cucumber, shrimp in spicy sauce",1050,1365,840,250,8,шт,гр,шт.,,,,Камчатский ролл,,,,,,,,250 гр.,8 шт.,,1
047,1,futomaki,8,Spajsi kani,Спайси Кани,Spicy crab,"pirinač, nori, krastavac, surimi u spajsi sosu","рис, нори, огурец, сурими в спайси соусе","rice, nori, cucumber, surimi in spicy sauce",950,1235,760,250,8,шт,гр,шт.,,,,Сандочи с Лососем 🍣,,,,,,,,250 гр.,8 шт.,,1
048,1,futomaki,9,Futomaki jasai,Футомаки Ясай,Jasai Futomaki ,"pirinač, nori, krastavac, zelena salata, avokado, paprika, susam, paradajz, tonkacu sos","рис, нори, огурец, зеленый салат, авокадо, болгарский перец, кунжут, помидор, соус тонкацу","rice, nori, cucumber, lettuce, avocado, bell pepper, sesame seeds, tomato, Tonkatsu sauce",800,1040,640,250,8,шт,гр,шт.,,,,Сандочи с Креветкой 🍣,,,,,,,,260 гр.,8 шт.,,1
049,1,futomaki,10,Futomaki avokado šake čiz,Футомаки авокадо сяке чиз,Avocado salmon cheese futomaki,"pirinač, nori, avokado, sir i losos","рис, нори, авокадо, сыр и лосось","rice, nori, avocado, cheese, salmon",1050,1365,840,250,8,шт,гр,шт.,,,,Сандочи с Сурими 🎏,,,,,,,,250 гр.,8 шт.,,1
050,1,futomaki,11,Futomaki avokado čiz,Футомаки авокадо чиз,Avocado cheese futomaki,"pirinač, nori, avokado, sir","рис, нори, авокадо, сыр","rice, nori, avocado, cheese",900,1170,720,250,8,шт,гр,шт.,,,,Сандочи с Угрём 🐉,,,,,,,,250 гр.,8 шт.,,1
051,1,handrolls,1,Hand roll s lososom,Хэнд ролл с лососем,Hand roll with salmon,"rolnica sa sirom, zelenom salatom, lososem i spajsi sosom, podeljena na dva dela","ролл с сыром, зеленым салатом, лососем и спайси соусом, разрезанный на две части","roll with cheese, lettuce, salmon, spicy sauce, divided into two parts",1000,1300,800,250,2,шт,гр,шт.,,,,Хэнд ролл Лосось,,,,,,,,250 гр.,2 шт.,,1
052,1,handrolls,2,Hand roll sa škampima,Хэнд ролл с креветкой,Hand roll with shrimp,"rolnica sa sirom, zelenom salatom, paniranim škampima u tempuri i spajsi sosom, podeljena na dva dela","ролл с сыром, зеленым салатом, обжаренной в темпуре креветкой и спайси соусом, разрезанный на две части","roll with cheese, lettuce, tempura shrimp, spicy sauce, divided into two parts",1000,1300,800,250,2,шт,гр,шт.,,,,Хэнд ролл Креветка,,,,,,,,250 гр.,2 шт.,,1
053,1,maki,1,Šake maki,Сяке маки,Sake maki,"pirinač, nori, losos","рис, нори, лосось","rice, nori, salmon",650,845,520,110,8,шт,гр,шт.,,,,Сяке маки,,,,,,,,110 гр.,8 шт.,,1
054,1,maki,2,Kapa maki,Каппа маки,Kappa maki,"pirinač, nori, krastavac","рис, нори, огурец","rice, nori, cucumber",500,650,400,110,8,шт,гр,шт.,,,,Каппа маки,,,,,,,,110 гр.,8 шт.,,1
055,1,maki,3,Unagi maki,Унаги маки,Unagi maki,"pirinač, nori, jegulja, unagi sos i susam","рис, нори, угорь, унаги соус и кунжут","rice, nori, eel, unagi sauce, sesame seeds",700,910,560,110,8,шт,гр,шт.,,,,Унаги маки,,,,,,,,110 гр.,8 шт.,,1
056,1,maki,4,Tuna maki,Туна маки,Tuna maki,"pirinač, nori, tuna","рис, нори, тунец","rice, nori, tuna",650,845,520,110,8,шт,гр,шт.,,,,Туна маки,,,,,,,,110 гр.,8 шт.,,1
057,1,maki,5,Ebi maki,Эби маки,Ebi maki,"pirinač, nori, škampi","рис, нори, креветка","rice, nori, shrimp",650,845,520,110,8,шт,гр,шт.,,,,Эби маки,,,,,,,,110 гр.,8 шт.,,1
058,1,maki,6,Кani maki,Кани маки,Kani maki,"pirinač, nori, surimi","рис, нори, сурими","rice, nori, surimi",550,715,440,110,8,шт,гр,шт.,,,,Канни маки,,,,,,,,110 гр.,8 шт.,,1
059,1,maki,7,Avokado maki,Авокадо маки,Avocado maki,"pirinač, nori, avokado","рис, нори, авокадо","rice, nori, avocado",550,715,440,110,8,шт,гр,шт.,,,,Авокадо маки🥑,,,,,,,,110 гр.,8 шт.,,1
060,1,sushi,1,Suši s lososom,Суши с лососем,Sushi with salmon,"pirinač, losos","рис, лосось",sushi with salmon,450,585,360,65,2,шт,гр,шт.,,,,Суши с лососем,,,,,,,,65 гр.,2 шт.,,1
061,1,sushi,2,Suši s jeguljom,Суши с угрем,Sushi with eel,"pirinač, dimljena jegulja, susam, unagi sos","рис, копченый угорь, кунжут, унаги соус",sushi with eel,550,715,440,55,2,шт,гр,шт.,,,,Суши с угрем,,,,,,,,55 гр.,2 шт.,,1
062,1,sushi,3,Suši sa škampima,Суши с креветками,Sushi with shrimp,"pirinač, škampi","рис, креветка",sushi with shrimp,450,585,360,65,2,шт,гр,шт.,,,,Суши с креветкой,,,,,,,,65 гр.,2 шт.,,1
063,1,sushi,4,Suši s tunom,Суши с тунцом,Sushi with tuna,"pirinač, tuna","рис, тунец",sushi with tuna,450,585,360,65,2,шт,гр,шт.,,,,Суши с тунцом,,,,,,,,65 гр.,2 шт.,,1
064,1,sushi,5,Gunkan spajsi losos,Гункан спайси лосось,Gunkan spicy salmon,"pirinač, nori, losos, spajsi sos","рис, нори, лосось, спайси соус",gunkan with spicy salmon,450,585,360,70,2,шт,гр,шт.,,,,Гункан с лососем и острым соусом,,,,,,,,70 гр.,2 шт.,,1
065,1,sushi,6,Gunkan spajsi jegula,Гункан спайси угорь,Gunkan spicy eel,"pirinač, nori, dimljena jegulja, spajsi sos","рис, нори, копченый угорь, спайси соус",gunkan with spicy eel,550,715,440,60,2,шт,гр,шт.,,,,Гункан с угрем и острым соусом,,,,,,,,60 гр.,2 шт.,,1
066,1,sushi,7,Gunkan spajsi surimi,Гункан спайси сурими,Gunkan spicy surimi,"pirinač, nori, surimi, spajsi sos","рис, нори, сурими, спайси соус",gunkan with spicy surimi,400,520,320,70,2,шт,гр,шт.,,,,Гункан с сурими и острым соусом,,,,,,,,70 гр.,2 шт.,,1
067,1,sushi,8,Gunkan spajsi škampi,Гункан спайси креветка,Gunkan spicy shrimp,"pirinač, nori, škampi, spajsi sos","рис, нори, креветка, спайси соус",gunkan with spicy shrimp,450,585,360,70,2,шт,гр,шт.,,,,Гункан с креветкой и острым соусом,,,,,,,,70 гр.,2 шт.,,1
068,1,sushi,9,Gunkan spajsi tuna,Гункан спайси тунец,Gunkan spicy tuna,"pirinač, nori, tuna, spajsi sos","рис, нори, тунец, спайси соус",gunkan with spicy tuna,450,585,360,70,2,шт,гр,шт.,,,,Гункан с тунцом и острым соусом,,,,,,,,70 гр.,2 шт.,,1
069,1,sushi,10,Gunkan spajsi morski češalj,Гункан спайси морской гребешок,Gunkan spicy scallop,"pirinač, nori, morski češalj, spajsi sos","рис, нори, морской гребешок, спайси соус",gunkan with spicy scallop,550,715,440,65,2,шт,гр,шт.,,,,🌟 Гункан спайси морской гребешок,,,,,,,,,2 шт.,,1
070,1,sushi,11,Gunkan spajsi dagnje,Гункан спайси мидии,Gunkan spicy mussel,"pirinač, nori, dagnje, spajsi sos","рис, нори, мидии, спайси соус",gunkan with spicy mussel,450,585,360,65,2,шт,гр,шт.,,,,🌟 Гункан спайси мидии,,,,,,,,,2 шт.,,1
071,1,woks,1,Udon,Удон,Udon,"pšenični rezanci, šargarepa, paprika, luk, šampinjoni, susam, pileći file, terijaki sos","пшеничная лапша, морковь, болгарский перец, лук, шампиньоны, кунжут, куриное филе, соус терияки","wheat noodles, carrot, bell pepper, onion, mushrooms, sesame seeds, chicken fillet, teriyaki sauce",900,1170,720,380,1,шт,гр,шт.,,,,Лапша Удон с курицей под соусом терияки,,,,,,,,320 гр.,1 шт.,,1
072,1,woks,2,Soba s piletinom,Соба с курицей,Soba with chicken,"rezanci od heljde, šargarepa, paprika, luk, šampinjoni, susam, tonkacu sos, pileći file","гречневая лапша,морковь, болгарский перец, лук, шампиньоны, кунжут, соус тонкацу, куриное филе","buckwheat noodles with chicken, carrot, bell pepper, onion, mushrooms, sesame seeds, Tonkatsu sauce, chicken fillet",900,1170,720,380,1,шт,гр,шт.,,,,Лапша Гречневая с  курицей под соусом тонкатцу 🐔,,,,,,,,320 гр.,1 шт.,,1
073,1,woks,3,Soba s povrćem,Соба с овощами,Soba with vegetables,"rezanci od heljde, šargarepa, paprika, luk, šampinjoni, susam, tonkacu sos","гречневая лапша, морковь, болгарский перец, лук, шампиньоны, кунжут, соус тонкацу","buckwheat noodles with vegetables, carrot, bell pepper, onion, mushrooms, sesame seeds, Tonkatsu sauce",800,1040,640,350,1,шт,гр,шт.,,,,Лапша Гречневая с овощами под соусом тонкатцу 🐖,,,,,,,,320 гр.,1 шт.,,1
074,1,woks,4,Rezanci od jaja sa piletinom,Яичная лапша с курицей,Egg noodles with chicken,"rezanci od jaja, šargarepa, paprika, luk, šampinjoni, susam, terijaki sos, pileći file","яичная лапша, морковь, болгарский перец, лук, шампиньоны, кунжут, соус терияки, куриное филе","egg noodles with chicken, carrot, bell pepper, onion, mushrooms, sesame seeds, teriyaki sauce, chicken fillet",900,1170,720,380,1,шт,гр,шт.,,,,Лапша Яичная с курицей под соусом терияки 🐔,,,,,,,,320 гр.,1 шт.,,1
